datekey,productkey,warehousekey,producedqty,scrapqty,machinehours,downtimehours
20240611,29,3,82.25,1.9,11.98,0.82
20240611,13,1,34.65,1.73,15.74,1.85
20240611,16,2,9.39,0.29,2.33,0.89
20240611,25,1,35.19,1.86,9.96,1.68
20240611,9,1,145.08,5.34,14.5,0.61
20240612,30,2,133.15,10.02,11.18,0.85
20240612,15,3,104.7,5.58,15.76,2.65
20240612,4,2,61.74,1.37,1.15,1.98
20240612,17,2,22.29,0.34,1.97,2.47
20240612,19,3,13.6,0.36,11.53,2.55
20240613,12,2,52.79,4.52,5.97,2.75
20240613,23,1,28.24,2.36,18.7,1.55
20240613,3,1,35.85,1.32,1.78,2.0
20240613,28,3,82.13,2.3,16.01,2.0
20240613,29,2,92.65,0.08,14.94,0.21
20240614,19,2,82.77,1.88,12.93,0.61
20240614,18,3,145.67,12.54,3.71,2.06
20240614,23,2,115.59,11.05,7.34,1.23
20240614,2,2,99.83,6.56,3.44,2.43
20240614,29,1,50.7,1.75,2.6,1.44
20240617,15,2,139.22,9.5,9.88,2.67
20240617,9,3,89.82,8.3,18.48,1.13
20240617,23,2,33.56,0.76,2.07,2.12
20240617,18,2,141.64,7.06,13.94,1.27
20240617,10,3,73.39,0.03,15.07,2.05
20240618,13,2,137.52,0.75,14.79,2.74
20240618,1,1,16.14,0.69,6.63,0.16
20240618,5,1,116.48,1.69,7.78,2.26
20240618,21,2,84.47,6.81,18.16,2.81
20240618,17,1,116.03,6.21,17.03,0.3
20240619,17,2,58.11,5.46,7.25,0.22
20240619,10,1,27.04,2.69,4.32,0.43
20240619,18,2,148.69,0.88,15.55,0.25
20240619,21,3,27.18,1.99,10.01,0.48
20240619,20,3,46.93,0.68,2.47,1.24
20240620,15,3,87.08,4.21,9.17,1.36
20240620,17,3,55.63,1.62,17.89,1.19
20240620,28,2,83.55,6.88,13.54,1.05
20240620,5,3,108.57,10.05,17.96,2.73
20240620,7,3,93.06,4.48,3.49,2.15
20240621,29,1,139.19,2.77,10.09,1.61
20240621,4,2,39.26,1.75,14.46,2.3
20240621,17,2,108.2,1.78,8.32,1.56
20240621,24,1,62.54,2.11,13.49,1.85
20240621,15,2,46.28,2.24,8.44,0.14
20240624,21,1,142.41,10.15,10.15,1.89
20240624,27,3,148.19,4.77,12.73,0.54
20240624,6,2,13.37,0.33,15.83,0.84
20240624,22,3,138.11,1.5,3.45,2.03
20240624,18,1,42.83,2.93,6.12,0.25
20240625,12,2,143.63,4.91,15.8,2.41
20240625,17,2,32.87,0.72,18.74,1.04
20240625,5,1,79.08,5.75,18.99,1.81
20240625,11,3,19.04,0.07,2.31,0.58
20240625,28,3,116.39,4.19,6.76,3.0
20240626,25,3,28.16,1.63,3.89,0.74
20240626,26,1,66.38,2.78,9.48,1.94
20240626,22,3,11.15,0.67,10.09,0.87
20240626,5,1,59.35,3.64,10.36,2.51
20240626,23,1,35.18,3.06,6.94,0.55
20240627,10,3,147.08,2.23,14.1,0.24
20240627,3,3,15.79,0.09,7.94,0.86
20240627,15,3,59.01,3.67,2.8,2.26
20240627,21,1,72.21,6.07,11.7,1.61
20240627,19,1,23.46,1.82,13.22,1.72
20240628,7,1,113.61,6.91,15.34,2.49
20240628,3,1,70.83,3.7,8.91,0.55
20240628,12,3,145.81,10.14,2.72,1.22
20240628,6,2,83.31,7.94,6.18,2.01
20240628,4,3,99.67,6.45,6.4,0.97
20240701,19,2,139.59,2.23,7.65,1.16
20240701,13,3,98.96,4.83,6.88,0.51
20240701,1,3,120.51,6.37,19.22,1.41
20240701,25,1,121.56,0.9,14.21,2.75
20240701,24,2,35.01,2.7,4.63,0.35
20240702,8,3,139.7,10.41,9.3,2.37
20240702,4,2,46.44,4.1,11.04,2.78
20240702,3,3,111.83,6.34,1.37,2.55
20240702,23,2,91.06,0.81,5.54,2.19
20240702,5,1,124.31,7.31,3.2,0.21
20240703,17,3,69.42,3.05,15.83,0.77
20240703,11,1,89.63,6.81,14.34,0.96
20240703,23,2,63.85,4.57,2.65,2.89
20240703,1,2,87.88,1.35,1.42,1.03
20240703,6,1,83.69,1.8,19.79,0.84
20240704,27,2,16.03,0.49,6.64,2.88
20240704,18,1,147.69,7.78,11.37,0.39
20240704,17,3,97.32,6.99,15.74,1.05
20240704,28,1,58.86,2.71,5.66,2.3
20240704,22,2,114.63,5.68,12.74,1.54
20240705,2,3,104.04,9.5,1.2,0.65
20240705,10,1,47.26,2.82,15.01,2.3
20240705,28,1,69.23,2.79,5.85,2.01
20240705,25,3,64.35,3.01,17.37,1.3
20240705,7,1,72.18,5.66,19.89,0.68
20240708,5,1,8.0,0.5,3.21,1.81
20240708,26,3,90.26,1.06,8.25,1.05
20240708,4,1,86.09,7.78,19.56,2.52
20240708,2,2,69.42,1.34,10.9,1.92
20240708,20,3,57.75,5.61,18.18,1.81
20240709,21,2,5.33,0.48,10.88,0.47
20240709,14,1,102.52,2.15,12.99,0.5
20240709,4,1,56.1,2.57,7.19,1.49
20240709,1,1,69.76,0.26,12.63,2.26
20240709,20,2,4.22,0.03,11.33,2.74
20240710,27,2,92.51,3.33,15.64,2.37
20240710,18,2,60.93,5.74,15.64,1.4
20240710,15,3,70.73,1.34,1.19,1.88
20240710,5,3,31.64,1.57,1.03,0.12
20240710,2,3,63.77,0.83,7.36,1.52
20240711,18,3,141.3,8.28,15.84,0.73
20240711,13,2,128.24,8.19,9.2,0.2
20240711,12,3,127.36,6.29,7.8,0.01
20240711,15,3,11.53,0.83,6.68,0.17
20240711,10,1,131.25,7.1,2.68,2.55
20240712,3,2,104.04,2.18,13.74,0.91
20240712,12,3,48.12,4.29,6.57,0.55
20240712,30,2,59.65,1.64,18.41,0.19
20240712,1,3,66.22,3.45,5.15,2.88
20240712,25,2,58.5,0.57,10.91,2.93
20240715,6,3,76.72,0.9,14.31,1.79
20240715,25,3,100.05,2.31,16.51,0.45
20240715,12,3,108.92,8.28,12.27,2.27
20240715,16,2,7.76,0.59,4.49,1.72
20240715,22,3,3.2,0.24,13.93,2.13
20240716,3,2,109.02,6.11,10.68,2.12
20240716,20,3,109.16,2.57,4.54,2.45
20240716,30,2,133.46,4.83,14.52,2.48
20240716,8,2,97.38,3.07,7.74,0.23
20240716,19,1,83.54,6.34,7.34,1.75
20240717,23,3,75.19,0.77,1.94,0.46
20240717,8,2,82.88,2.87,2.87,0.13
20240717,28,3,68.57,2.31,1.62,0.61
20240717,24,3,122.67,4.32,18.04,0.07
20240717,29,2,43.06,3.68,16.1,1.53
20240718,5,1,27.49,0.93,7.16,1.57
20240718,9,2,132.02,10.91,18.12,0.63
20240718,25,1,90.83,2.43,13.16,1.2
20240718,7,3,53.84,0.24,19.68,1.18
20240718,26,2,118.86,6.98,3.08,2.28
20240719,25,3,122.77,11.63,16.25,1.22
20240719,27,1,69.74,1.13,1.28,0.18
20240719,8,2,105.34,6.51,16.61,1.51
20240719,11,1,71.13,2.77,18.07,0.14
20240719,7,2,134.15,2.46,18.43,2.93
20240722,15,1,18.44,0.55,11.38,1.6
20240722,10,1,53.6,3.08,11.31,0.85
20240722,23,1,85.38,0.52,19.29,1.03
20240722,18,2,139.34,6.37,3.9,2.6
20240722,26,1,146.43,14.42,1.42,0.47
20240723,26,1,139.65,4.83,1.8,2.35
20240723,1,3,34.92,2.4,5.8,2.38
20240723,8,1,62.63,6.09,16.91,2.05
20240723,15,3,110.14,7.32,16.58,1.25
20240723,25,1,93.66,6.75,4.76,0.21
20240724,18,2,10.64,0.14,17.78,2.99
20240724,13,3,10.44,0.77,8.61,0.78
20240724,12,1,84.58,6.48,4.91,2.9
20240724,17,1,131.1,0.29,16.24,2.8
20240724,30,1,52.95,3.62,17.34,0.24
20240725,26,3,106.83,6.03,1.4,2.89
20240725,3,2,95.97,0.3,17.36,1.2
20240725,15,1,48.37,4.06,1.84,2.81
20240725,16,2,49.96,0.39,14.03,2.41
20240725,20,3,89.01,8.7,18.64,0.6
20240726,19,1,105.1,6.74,10.21,1.39
20240726,26,3,112.89,0.21,9.23,2.18
20240726,27,2,92.5,8.29,3.43,0.62
20240726,8,3,36.95,0.26,2.81,2.19
20240726,14,2,88.89,7.67,3.65,2.45
20240729,17,1,16.49,1.57,13.99,2.05
20240729,23,2,51.58,2.04,18.91,0.25
20240729,20,2,2.18,0.06,16.68,2.01
20240729,18,3,71.24,2.3,3.32,2.14
20240729,15,1,146.22,9.15,13.09,0.73
20240730,8,3,15.18,1.12,7.7,0.95
20240730,20,2,137.69,0.33,3.56,1.73
20240730,23,2,119.82,8.84,10.4,1.0
20240730,29,3,122.85,0.73,3.98,0.18
20240730,4,3,28.5,1.81,13.65,0.66
20240731,1,3,27.85,0.4,7.1,2.36
20240731,5,3,42.38,3.35,11.56,0.62
20240731,2,3,70.26,2.23,16.56,2.79
20240731,26,1,126.02,11.43,3.75,1.13
20240731,14,1,31.47,0.49,3.26,1.24
20240801,1,3,19.23,1.53,7.06,0.73
20240801,25,3,113.38,6.65,8.45,0.52
20240801,11,2,27.01,2.13,19.89,0.87
20240801,26,3,74.73,3.67,10.02,0.66
20240801,2,2,56.68,0.41,7.83,0.41
20240802,29,2,85.45,0.88,17.75,2.28
20240802,9,2,122.64,9.63,6.79,1.99
20240802,5,3,2.29,0.07,17.05,0.15
20240802,28,2,45.16,3.9,11.0,2.49
20240802,4,3,22.02,0.12,12.68,1.57
20240805,26,3,16.2,0.86,17.19,2.62
20240805,14,1,65.75,4.03,15.47,1.82
20240805,13,1,2.01,0.02,1.75,2.62
20240805,3,1,17.23,0.64,18.11,1.39
20240805,30,2,27.84,2.74,8.81,1.1
20240806,26,3,42.04,4.08,7.75,2.85
20240806,30,2,65.17,2.11,9.67,2.99
20240806,6,3,86.61,6.91,16.07,1.87
20240806,21,3,80.3,3.74,18.94,2.83
20240806,9,3,134.34,1.58,6.84,0.96
20240807,23,2,21.76,0.25,1.02,0.58
20240807,17,2,111.5,8.9,1.23,0.32
20240807,1,2,27.99,0.68,5.64,2.29
20240807,16,1,113.79,1.52,18.2,0.79
20240807,24,1,73.12,1.55,11.88,0.66
20240808,10,1,103.43,3.14,9.19,1.82
20240808,7,1,107.35,1.18,6.12,0.15
20240808,1,1,32.76,0.76,2.85,1.71
20240808,29,2,110.91,10.06,7.76,1.42
20240808,16,3,114.04,7.75,4.83,0.21
20240809,27,2,129.32,5.33,4.33,0.71
20240809,22,2,53.83,0.71,5.45,0.08
20240809,25,1,106.15,9.16,10.57,0.57
20240809,23,3,32.28,1.41,12.03,2.28
20240809,14,1,59.68,4.03,6.37,2.2
20240812,10,2,125.81,8.33,12.82,0.67
20240812,25,1,28.11,2.31,2.37,2.43
20240812,16,1,24.44,2.14,1.13,2.91
20240812,12,3,149.91,7.02,14.26,0.24
20240812,3,3,78.9,6.61,9.8,2.88
20240813,4,2,77.81,7.43,11.66,2.45
20240813,15,2,18.43,0.15,9.56,2.14
20240813,19,3,42.43,3.09,6.9,1.04
20240813,11,2,53.99,1.54,19.0,2.53
20240813,13,2,133.86,4.5,19.4,1.8
20240814,6,1,138.8,10.94,3.21,2.89
20240814,10,1,144.08,8.87,7.96,1.51
20240814,18,3,41.2,1.84,4.59,0.5
20240814,3,2,5.24,0.23,14.26,2.87
20240814,7,3,139.22,1.17,3.04,0.79
20240815,30,2,8.31,0.61,7.76,0.75
20240815,24,2,119.14,0.8,4.38,0.17
20240815,12,3,122.05,5.15,2.88,2.27
20240815,5,2,67.63,3.87,3.5,2.31
20240815,16,1,67.42,6.09,19.22,0.1
20240816,12,3,90.99,7.44,16.59,2.04
20240816,4,1,125.8,1.96,14.68,2.97
20240816,3,1,52.67,1.34,3.87,2.09
20240816,7,1,136.49,7.39,17.53,2.08
20240816,27,1,23.6,0.28,7.24,0.65
20240819,3,3,72.39,3.55,4.8,2.76
20240819,23,1,93.45,7.98,14.86,2.59
20240819,25,1,40.16,2.15,6.86,2.85
20240819,7,1,95.77,4.21,13.4,1.56
20240819,6,3,15.92,0.74,3.2,2.17
20240820,28,2,64.81,1.05,18.57,0.76
20240820,25,2,82.49,1.02,3.91,0.2
20240820,11,3,139.32,10.7,14.04,2.44
20240820,5,2,124.85,1.86,14.33,0.85
20240820,19,3,91.81,7.61,2.01,1.86
20240821,4,1,16.24,0.17,2.93,0.1
20240821,13,1,43.46,3.89,11.34,1.97
20240821,2,2,34.53,1.03,1.94,0.41
20240821,5,3,103.04,7.5,3.44,1.5
20240821,17,1,84.77,4.09,19.03,1.89
20240822,14,3,47.33,4.47,18.46,2.49
20240822,22,2,71.81,4.18,13.47,1.49
20240822,8,2,130.3,12.36,2.26,1.21
20240822,4,1,60.77,3.33,17.6,2.94
20240822,5,3,114.34,6.19,6.45,1.89
20240823,10,1,135.21,9.91,15.19,1.53
20240823,9,2,127.83,2.84,9.03,2.97
20240823,22,3,43.94,0.47,8.92,2.65
20240823,5,2,133.76,5.64,19.3,2.82
20240823,11,1,142.24,4.88,4.27,2.51
20240826,3,1,136.46,1.21,3.87,2.86
20240826,23,1,82.92,4.29,1.45,2.98
20240826,15,1,44.73,4.31,11.02,1.02
20240826,27,3,103.23,5.07,10.21,0.0
20240826,18,2,97.91,3.69,19.73,2.25
20240827,18,1,45.41,3.71,4.47,1.08
20240827,6,1,79.58,4.14,10.02,2.73
20240827,14,2,20.36,0.17,4.98,0.55
20240827,30,1,49.12,4.64,8.66,1.52
20240827,23,1,9.77,0.25,14.47,0.82
20240828,24,2,17.05,1.08,6.92,0.35
20240828,17,1,10.29,0.75,18.84,1.42
20240828,15,2,94.59,2.28,14.47,2.93
20240828,9,1,63.0,0.71,13.26,1.84
20240828,5,1,65.21,3.98,18.75,1.84
20240829,22,3,1.47,0.13,4.69,1.9
20240829,26,2,24.0,0.77,10.82,0.76
20240829,16,2,89.62,2.11,11.61,2.91
20240829,25,3,77.41,3.03,9.56,1.75
20240829,10,1,58.96,5.72,10.92,0.37
20240830,11,3,64.27,4.49,16.09,0.93
20240830,14,3,48.5,3.71,17.23,0.02
20240830,4,1,40.31,0.55,19.26,0.78
20240830,7,2,77.68,4.6,4.97,0.73
20240830,26,2,71.53,3.2,9.22,2.35
20240902,12,2,88.54,7.03,1.42,2.21
20240902,7,2,111.17,5.17,3.81,1.84
20240902,17,2,23.12,0.06,17.57,1.49
20240902,27,2,111.77,0.82,1.01,0.07
20240902,29,3,42.74,1.61,5.87,1.58
20240903,20,2,16.49,1.61,10.97,1.35
20240903,18,2,22.33,1.98,4.07,0.34
20240903,4,2,134.89,8.75,14.16,2.9
20240903,16,1,110.27,0.56,4.21,2.06
20240903,8,3,90.64,2.28,11.68,1.95
20240904,5,1,16.88,1.36,7.93,2.66
20240904,3,2,36.91,0.91,3.04,2.76
20240904,24,2,145.24,9.74,5.8,1.31
20240904,30,2,136.16,12.36,2.92,1.4
20240904,21,2,93.25,0.48,16.18,2.81
20240905,30,1,89.91,2.12,5.32,2.3
20240905,7,3,78.42,6.18,8.72,1.02
20240905,15,1,133.87,8.57,18.15,0.65
20240905,2,2,64.46,3.66,14.55,1.72
20240905,22,2,46.81,1.59,2.42,0.12
20240906,19,1,144.63,7.77,16.91,0.82
20240906,6,2,119.94,4.97,2.11,2.92
20240906,13,1,121.61,0.33,5.69,2.71
20240906,16,2,7.19,0.53,12.04,2.12
20240906,4,1,95.16,8.74,15.99,1.31
20240909,12,3,103.63,3.24,7.46,1.73
20240909,25,1,38.01,3.38,8.24,0.96
20240909,13,2,81.98,0.04,4.37,0.04
20240909,9,3,66.49,1.82,7.9,0.21
20240909,27,3,74.65,4.97,14.07,1.85
20240910,19,2,39.63,3.27,5.4,2.83
20240910,14,1,134.12,2.05,14.13,0.86
20240910,5,1,95.52,4.5,5.58,1.02
20240910,22,2,130.12,10.53,10.74,1.43
20240910,21,1,140.96,0.91,13.21,0.31
20240911,20,3,34.6,0.44,8.44,2.8
20240911,9,1,56.45,1.23,10.54,1.57
20240911,13,1,68.78,5.31,3.83,0.35
20240911,18,2,72.14,3.74,17.36,2.35
20240911,26,1,46.15,2.93,13.1,2.57
20240912,20,3,49.63,1.35,1.67,1.17
20240912,17,3,94.05,6.72,12.59,1.88
20240912,4,2,7.98,0.56,11.41,2.23
20240912,21,3,115.13,2.47,15.6,0.02
20240912,1,1,132.75,6.02,18.86,2.69
20240913,5,1,35.96,2.01,9.18,2.94
20240913,2,3,62.82,6.09,3.14,0.73
20240913,15,1,20.61,0.53,2.88,0.67
20240913,12,1,83.88,2.68,14.07,1.88
20240913,3,2,113.69,3.5,18.84,0.43
20240916,21,3,0.64,0.04,1.12,0.9
20240916,14,2,82.31,7.14,2.33,1.75
20240916,16,3,70.06,6.49,5.26,2.68
20240916,9,2,104.69,10.28,6.02,1.11
20240916,1,1,133.3,0.49,7.64,0.56
20240917,19,3,17.11,0.29,5.19,0.37
20240917,12,2,17.81,1.76,12.36,1.74
20240917,7,3,135.9,7.48,13.52,2.32
20240917,6,2,83.36,0.78,6.6,0.39
20240917,15,3,36.93,1.27,18.1,0.47
20240918,4,1,100.7,9.98,6.72,2.43
20240918,11,2,45.99,1.82,18.4,2.83
20240918,13,2,145.57,1.93,10.38,1.65
20240918,2,2,110.51,2.54,2.03,2.11
20240918,5,3,121.1,7.04,17.87,1.8
20240919,28,1,83.82,4.24,17.69,0.3
20240919,27,3,147.93,14.73,9.95,1.95
20240919,18,1,92.38,8.26,9.27,0.66
20240919,24,2,110.73,9.77,12.14,0.99
20240919,30,2,27.78,0.36,4.91,0.95
20240920,4,1,17.79,1.46,18.71,1.59
20240920,2,1,36.36,1.94,18.74,2.88
20240920,10,3,145.72,3.55,5.02,1.29
20240920,18,3,142.77,14.1,11.92,0.65
20240920,30,2,104.29,7.22,3.55,0.84
20240923,7,1,136.42,1.36,8.56,2.42
20240923,16,3,137.74,11.54,17.92,2.95
20240923,24,1,37.5,0.03,15.93,2.45
20240923,26,2,41.16,0.17,6.08,0.68
20240923,4,3,104.85,7.9,13.49,0.39
20240924,4,2,91.96,2.54,17.01,1.51
20240924,17,1,16.17,1.05,3.79,1.83
20240924,30,3,121.51,2.06,8.14,2.44
20240924,18,2,139.78,0.89,7.0,0.06
20240924,1,3,135.62,10.58,14.9,2.93
20240925,3,3,55.19,2.73,16.52,0.99
20240925,11,3,123.95,0.92,5.34,0.67
20240925,27,2,33.44,0.62,5.22,0.28
20240925,1,3,34.85,0.47,14.97,1.94
20240925,20,1,31.17,2.19,17.15,0.73
20240926,29,2,24.95,0.67,9.45,2.69
20240926,23,3,35.02,0.33,7.04,2.89
20240926,16,2,101.1,9.18,9.4,2.24
20240926,27,1,0.82,0.04,3.57,0.76
20240926,6,1,35.06,1.01,15.27,0.12
20240927,29,3,43.09,1.86,6.11,2.62
20240927,23,3,143.19,5.47,18.56,1.27
20240927,6,1,73.8,3.57,10.49,2.12
20240927,22,1,23.56,0.27,3.5,1.91
20240927,12,2,110.37,4.81,5.91,0.78
20240930,7,2,92.54,2.02,11.65,0.76
20240930,1,1,35.7,2.09,3.62,2.02
20240930,3,1,117.32,2.36,6.16,0.9
20240930,24,2,63.7,0.15,16.08,2.6
20240930,27,1,56.83,3.24,11.44,2.8
20241001,10,2,144.42,12.11,6.73,1.22
20241001,25,2,9.99,0.46,10.22,1.73
20241001,20,3,34.78,0.17,19.72,1.58
20241001,9,1,140.99,3.92,19.74,0.38
20241001,1,3,40.02,1.19,7.23,2.99
20241002,2,1,122.67,8.32,3.69,1.63
20241002,16,1,106.78,10.34,14.0,0.8
20241002,10,1,1.52,0.0,19.85,1.3
20241002,27,3,139.89,6.63,1.96,2.82
20241002,21,3,64.84,1.67,18.3,1.13
20241003,10,2,87.35,7.25,10.95,2.39
20241003,5,3,75.01,4.23,12.09,1.36
20241003,22,3,35.09,1.03,17.51,0.96
20241003,27,2,145.14,2.72,7.86,0.38
20241003,4,3,29.94,0.25,3.41,2.89
20241004,13,3,42.86,0.29,9.69,1.59
20241004,2,1,5.35,0.4,6.83,1.38
20241004,12,1,26.94,2.65,10.31,1.43
20241004,23,3,104.59,2.81,16.57,2.11
20241004,15,1,120.39,9.73,5.23,2.56
20241007,17,1,66.27,3.46,11.98,1.15
20241007,16,1,71.8,5.2,15.45,2.39
20241007,28,3,132.49,1.76,13.64,1.79
20241007,21,1,118.02,8.5,7.85,0.69
20241007,25,1,141.23,2.6,14.35,1.21
20241008,2,2,21.59,1.35,14.82,1.59
20241008,3,1,25.06,2.29,12.67,2.48
20241008,15,1,20.41,0.3,6.91,0.57
20241008,29,3,97.23,8.07,14.66,0.24
20241008,12,3,40.6,1.35,14.21,1.45
20241009,15,1,20.07,1.88,4.99,2.23
20241009,17,2,83.64,4.02,9.4,0.81
20241009,12,2,35.06,2.26,14.8,0.15
20241009,16,1,18.32,1.37,1.75,1.57
20241009,7,1,72.87,0.08,18.69,0.58
20241010,4,3,71.68,1.92,5.95,1.61
20241010,14,1,143.9,10.83,17.5,1.34
20241010,19,2,124.95,9.54,19.19,1.11
20241010,10,1,56.07,0.34,2.84,1.2
20241010,21,2,138.64,8.43,3.64,1.73
20241011,4,1,76.75,0.68,13.43,0.08
20241011,12,2,45.17,0.04,16.11,2.66
20241011,3,1,21.52,0.77,8.03,0.99
20241011,16,3,108.58,2.13,9.53,0.03
20241011,14,3,112.59,3.65,8.86,0.01
20241014,14,1,0.34,0.01,3.7,1.09
20241014,23,2,121.34,7.5,8.88,2.41
20241014,25,2,120.48,10.34,2.64,1.17
20241014,10,1,140.51,10.44,2.62,0.7
20241014,28,1,33.59,0.54,19.82,0.48
20241015,12,3,74.1,6.76,7.05,2.46
20241015,23,3,126.97,5.07,16.02,1.17
20241015,10,3,46.78,0.47,4.27,2.55
20241015,8,1,144.78,2.39,6.97,2.72
20241015,7,1,25.15,2.41,18.33,1.91
20241016,5,2,32.67,1.4,14.99,2.16
20241016,9,3,135.43,5.15,2.03,1.38
20241016,23,1,87.08,0.69,7.65,0.29
20241016,18,3,4.63,0.21,12.92,0.18
20241016,27,3,124.17,5.12,16.71,1.11
20241017,23,3,54.31,3.59,15.7,1.93
20241017,28,1,93.81,1.45,14.58,0.51
20241017,11,1,98.12,2.33,3.87,0.83
20241017,19,3,49.73,3.5,7.07,2.9
20241017,22,3,109.27,5.82,1.28,2.18
20241018,14,2,18.32,1.15,9.49,1.37
20241018,9,3,87.29,7.9,13.85,0.8
20241018,27,3,93.27,3.73,6.05,2.59
20241018,17,3,137.95,5.98,15.59,1.85
20241018,30,3,86.61,4.41,2.96,2.13
20241021,13,1,5.09,0.16,8.65,2.91
20241021,19,1,110.91,6.86,6.83,2.23
20241021,24,1,126.05,1.14,10.78,0.58
20241021,20,2,54.53,4.48,8.13,2.37
20241021,7,3,144.99,0.95,13.32,0.55
20241022,15,1,65.06,4.49,11.58,1.28
20241022,6,1,148.09,8.68,5.35,1.23
20241022,20,1,17.58,0.32,16.74,0.89
20241022,28,3,1.49,0.1,6.93,2.7
20241022,4,2,62.66,4.17,12.72,0.34
20241023,30,3,56.8,0.13,9.85,0.09
20241023,16,1,6.5,0.35,17.14,2.4
20241023,27,3,44.57,3.31,8.95,1.09
20241023,20,3,102.92,2.57,14.35,0.23
20241023,7,1,19.42,1.17,3.24,0.73
20241024,11,3,70.66,6.55,13.28,1.94
20241024,9,1,93.14,7.62,18.2,0.2
20241024,27,2,129.72,9.38,18.27,2.6
20241024,7,1,129.37,3.55,14.42,2.66
20241024,4,3,125.9,3.71,1.31,1.95
20241025,10,2,133.22,5.42,17.72,2.54
20241025,19,1,48.05,3.62,10.69,0.83
20241025,7,1,21.03,0.24,4.74,0.41
20241025,17,2,63.45,0.13,4.93,2.87
20241025,8,1,84.41,8.33,18.59,2.4
20241028,17,1,135.9,6.96,16.01,2.22
20241028,25,1,92.0,4.66,8.67,0.71
20241028,2,1,77.53,0.23,10.66,0.73
20241028,13,1,92.08,3.6,1.55,1.98
20241028,9,2,30.02,0.95,10.46,0.7
20241029,24,3,35.39,1.66,7.87,0.65
20241029,4,3,100.36,2.59,1.85,2.94
20241029,18,2,149.38,9.77,13.43,2.99
20241029,27,1,136.51,8.8,13.91,2.22
20241029,11,1,127.71,4.18,1.36,1.73
20241030,17,1,109.7,6.79,4.05,2.71
20241030,25,2,112.17,7.45,4.34,2.93
20241030,10,1,124.11,4.89,5.77,0.93
20241030,28,2,148.49,14.38,16.4,2.38
20241030,8,3,137.47,7.08,4.24,2.25
20241031,17,1,72.04,6.35,15.06,0.31
20241031,12,3,30.57,0.17,19.77,2.89
20241031,23,3,74.52,5.86,13.44,2.18
20241031,11,2,46.17,1.89,7.4,1.0
20241031,4,3,13.39,0.37,18.51,2.1
20241101,18,1,91.18,1.14,13.12,1.67
20241101,14,1,120.1,9.27,2.22,2.13
20241101,3,1,95.39,9.3,13.75,1.73
20241101,10,2,5.21,0.16,6.85,0.51
20241101,11,3,15.26,0.47,7.03,2.06
20241104,2,1,94.94,3.77,5.3,0.99
20241104,21,1,86.85,6.79,8.58,0.88
20241104,24,2,53.59,2.23,16.95,0.48
20241104,17,2,62.65,0.85,14.66,0.95
20241104,4,3,128.51,4.59,10.48,0.45
20241105,12,2,3.25,0.32,9.13,0.91
20241105,2,3,65.45,3.0,10.39,2.22
20241105,4,3,26.51,0.35,16.51,1.21
20241105,22,2,66.96,2.32,7.86,2.34
20241105,3,3,128.35,9.29,2.97,2.05
20241106,7,1,13.74,0.23,7.81,1.01
20241106,28,1,147.37,12.1,19.47,1.68
20241106,13,1,129.35,7.43,2.55,1.43
20241106,15,3,30.14,1.99,13.19,2.47
20241106,29,2,90.95,2.27,12.88,1.9
20241107,16,2,78.02,2.96,17.39,1.42
20241107,12,1,128.08,7.32,5.79,2.0
20241107,4,3,83.08,2.49,13.06,1.33
20241107,7,2,136.34,3.36,5.03,0.25
20241107,3,1,142.46,12.53,6.7,1.22
20241108,6,1,56.29,2.25,14.09,2.16
20241108,21,1,59.59,4.53,6.05,0.92
20241108,27,3,51.08,3.62,5.25,0.95
20241108,18,1,134.74,9.92,1.0,1.09
20241108,11,3,6.51,0.55,10.66,1.34
20241111,3,2,109.46,1.93,9.91,0.71
20241111,30,2,60.06,5.22,7.8,0.76
20241111,29,3,61.99,1.31,15.93,2.56
20241111,5,3,88.68,5.5,6.39,0.24
20241111,8,3,65.78,1.67,14.87,1.27
20241112,14,3,84.77,3.34,14.1,2.8
20241112,16,1,98.59,4.26,1.33,0.04
20241112,10,2,142.26,5.17,11.18,2.59
20241112,23,3,149.84,1.59,1.9,2.01
20241112,9,2,5.01,0.46,9.48,1.29
20241113,8,2,33.32,0.11,16.37,1.37
20241113,29,1,42.12,1.51,10.12,2.27
20241113,23,1,111.06,10.98,11.21,0.74
20241113,22,1,91.36,2.7,16.0,1.58
20241113,9,1,113.2,9.8,11.26,1.47
20241114,23,2,16.02,1.56,14.78,0.05
20241114,12,1,145.46,6.16,17.6,1.32
20241114,25,2,102.55,5.26,2.4,1.57
20241114,7,3,98.99,2.55,15.37,1.15
20241114,15,2,80.4,3.67,3.47,2.0
20241115,1,1,52.3,1.02,15.27,1.04
20241115,27,2,22.4,0.05,4.6,1.61
20241115,6,3,9.32,0.01,19.12,0.31
20241115,25,2,116.49,4.56,17.64,0.19
20241115,18,2,107.22,4.4,3.88,1.79
20241118,25,3,55.06,0.21,2.33,2.26
20241118,22,1,75.44,1.51,13.42,1.03
20241118,29,2,65.42,2.36,19.96,1.2
20241118,10,3,41.57,2.89,14.98,2.35
20241118,4,2,133.01,10.25,14.82,1.23
20241119,1,3,97.05,2.75,10.7,1.17
20241119,14,2,31.79,0.05,13.91,0.33
20241119,19,3,71.62,5.69,10.09,0.78
20241119,27,1,118.93,3.61,18.44,1.44
20241119,8,3,27.79,1.01,6.56,1.66
20241120,30,3,27.22,1.59,19.87,1.83
